date,gas_nominal,cpi,gas_real,gas_real_12mo
1998-05-01,1.092,162.6,2.2182039114391148,2.2329193888835
1998-06-01,1.094,162.8,2.2195364987714985,2.2023941978052433
1998-07-01,1.079,163.2,2.1837386458333334,2.1820282282836385
1998-08-01,1.052,163.4,2.1264885924112606,2.1687711562369554
1998-09-01,1.033,163.5,2.0868053149847094,2.1628323167590984
1998-10-01,1.042,163.9,2.099849334960342,2.15577038306671
1998-11-01,1.028,164.1,2.06911154174284,2.130921654783997
1998-12-01,0.986,164.4,1.9809543673965935,2.091157966221513
1999-01-01,0.972,164.7,1.9492701639344265,2.052079885905029
1999-02-01,0.955,164.7,1.9151779902853676,2.0168614522173796
1999-03-01,0.991,164.8,1.986167251213592,2.00008844158886
1999-04-01,1.177,165.9,2.3433083845690175,2.0406649498569727
1999-05-01,1.178,166.0,2.343886469879518,2.0864607712130856
1999-06-01,1.148,166.0,2.2841949638554215,2.1370008706228902
1999-07-01,1.189,166.7,2.355839094181164,2.2047623589973466
1999-08-01,1.255,167.1,2.4806565828845,2.299008791097202
1999-09-01,1.28,167.8,2.519517520858164,2.387900502704631
1999-10-01,1.274,168.1,2.5032318976799526,2.414554421556453
1999-11-01,1.264,168.4,2.479158859857482,2.437099819886114
1999-12-01,1.298,168.8,2.539812286729858,2.4797027070318536
2000-01-01,1.301,169.3,2.538164164205552,2.510090218702585
2000-02-01,1.369,170.0,2.6598301,2.5399524715551682
2000-03-01,1.541,171.0,2.9765000760233917,2.616116230749373
2000-04-01,1.506,170.9,2.910598349912229,2.6840106394547525
2000-05-01,1.498,171.2,2.8900637500000004,2.752494787811839
2000-06-01,1.617,172.2,3.1015318292682927,2.8461147115682444
2000-07-01,1.593,172.7,3.046651702374059,2.930862634596329
2000-08-01,1.51,172.7,2.8879121598147077,2.9688763112321137
2000-09-01,1.582,173.6,3.0099281451612905,2.97444765608843
2000-10-01,1.559,173.9,2.961051104082806,2.9828564484501925
2000-11-01,1.555,174.2,2.9483674799081516,2.992573736768218
2000-12-01,1.489,174.6,2.81675989117984,2.945111747086809
2001-01-01,1.472,175.6,2.768743143507973,2.898793653942461
2001-02-01,1.484,176.0,2.7849705227272725,2.881636714427889
2001-03-01,1.447,176.1,2.713991885292448,2.832314004449749
2001-04-01,1.564,176.4,2.9284481405895693,2.826880177200876
2001-05-01,1.729,177.3,3.220962194021433,2.872312629553089
2001-06-01,1.64,177.7,3.048286550365785,2.91090040608408
2001-07-01,1.482,177.4,2.759268466741826,2.909321293289722
2001-08-01,1.427,177.4,2.6568664656144305,2.8879706171042483
2001-09-01,1.531,178.1,2.8392958057271196,2.9088546038433605
2001-10-01,1.362,177.6,2.5329902364864867,2.8429449531595132
2001-11-01,1.263,177.5,2.3501975154929577,2.697817506738101
2001-12-01,1.131,177.4,2.1057575140924465,2.540729334025878
2002-01-01,1.139,177.7,2.117072183455262,2.433696620144784
2002-02-01,1.13,178.0,2.0968038764044943,2.340352855276461
2002-03-01,1.241,178.5,2.2963227619047624,2.249857347972735
2002-04-01,1.407,179.3,2.5918697769102064,2.2596706047100215
2002-05-01,1.421,179.5,2.6147429136490254,2.3037615044026993
2002-06-01,1.404,179.6,2.5820232293986636,2.3831391236204023
2002-07-01,1.412,180.0,2.5909650888888884,2.4621212745260066
2002-08-01,1.423,180.5,2.6039165595567866,2.546640055051389
2002-09-01,1.422,180.8,2.597769059734513,2.5968811046896807
2002-10-01,1.449,181.2,2.641250314569537,2.605111194299569
2002-11-01,1.448,181.5,2.6350648154269973,2.608498177929231
2002-12-01,1.394,181.8,2.5326096919691965,2.600262588357653
2003-01-01,1.473,182.6,2.6644117688937574,2.612503701691798
2003-02-01,1.641,183.6,2.952128611111111,2.6705390436175187
2003-03-01,1.748,183.9,3.1394897444263186,2.760825824399486
2003-04-01,1.659,183.2,2.9910266757641923,2.8191218845985957
2003-05-01,1.542,182.9,2.7846462875888465,2.8440521299589037
2003-06-01,1.514,183.1,2.7310955871108686,2.877133112482516
2003-07-01,1.524,183.7,2.7401553184540015,2.889757037409223
2003-08-01,1.628,184.5,2.9144553062330623,2.8834781532628817
2003-09-01,1.728,185.1,3.0834484278768235,2.874137933837966
2003-10-01,1.603,184.9,2.8634920443482965,2.8528821619353164
2003-11-01,1.535,185.0,2.740539216216216,2.845530983373212
2003-12-01,1.494,185.5,2.6601495525606467,2.8337066442815075
2004-01-01,1.592,186.3,2.8224715834675256,2.8474260217837615
2004-02-01,1.672,186.7,2.9579533797536155,2.8546757007038543
2004-03-01,1.766,187.1,3.117570486370925,2.8603627104528706
2004-04-01,1.833,187.4,3.2306673906083243,2.9215586014962085
2004-05-01,2.009,188.2,3.5258163496280552,3.052438123731515
2004-06-01,2.041,188.9,3.5687030862890414,3.203863712686248
2004-07-01,1.939,189.1,3.3867695769434163,3.2979133782655627
2004-08-01,1.898,189.2,3.3134044080338265,3.3571552163122647
2004-09-01,1.891,189.8,3.290748487881981,3.386018216564107
2004-10-01,2.029,190.8,3.5123925419287207,3.43297240845084
2004-11-01,2.01,191.7,3.463166040688576,3.4225306902942596
2004-12-01,1.882,191.7,3.242626113719353,3.3681845281993117
2005-01-01,1.823,191.6,3.142610328810021,3.3274913201770797
2005-02-01,1.918,192.4,3.2926298024948024,3.3240288859205758
2005-03-01,2.065,193.1,3.532133842568617,3.3642597783683486
2005-04-01,2.283,193.7,3.892921626226123,3.4276812924179154
2005-05-01,2.216,193.6,3.7806264876033064,3.480591366903704
2005-06-01,2.176,193.7,3.7104675684047503,3.5585649426846033
2005-07-01,2.316,194.9,3.9248773114417648,3.688942773123227
2005-08-01,2.506,196.1,4.220878419173891,3.843650875903075
2005-09-01,2.927,198.8,4.863016151911468,4.065464594126884
2005-10-01,2.785,199.1,4.620120567553993,4.186664417681529
2005-11-01,2.343,198.1,3.90649418980313,4.207642368048167
2005-12-01,2.186,198.1,3.6447274003028776,4.196685673364521
2006-01-01,2.315,199.3,3.8365694681384843,4.181967699480641
2006-02-01,2.31,199.4,3.826363239719157,4.116215169571518
2006-03-01,2.401,199.7,3.9711241512268405,3.967566502790747
2006-04-01,2.757,200.7,4.537208774289986,3.953747870580079
2006-05-01,2.947,201.3,4.8354370144063585,4.108571674680618
2006-06-01,2.917,201.8,4.7743542170465805,4.296842810804567
2006-07-01,2.999,202.9,4.881955184820108,4.4710737635848385
2006-08-01,2.985,203.8,4.837706599607458,4.639630990232889
2006-09-01,2.589,202.8,4.216610340236686,4.680545355067863
2006-10-01,2.272,201.9,3.7168187023278847,4.543813676407512
2006-11-01,2.241,202.0,3.6642901633663367,4.348622534567509
2006-12-01,2.334,203.1,3.7956861742983756,4.185511194109474
2007-01-01,2.274,203.437,3.6919846537257235,3.9871827722604105
2007-02-01,2.285,204.226,3.695511369757034,3.796816900618673
2007-03-01,2.592,205.288,4.170333658080355,3.7891041202592852
2007-04-01,2.86,205.904,4.5877592470277415,3.9342608777092614
2007-05-01,3.13,206.755,5.000203574278736,4.156913112861328
2007-06-01,3.052,207.234,4.8643284210119955,4.335020153980264
2007-07-01,2.961,207.603,4.710902891576711,4.5048398602887625
2007-08-01,2.782,207.667,4.424752733944247,4.626380087653298
2007-09-01,2.789,208.547,4.41716820189214,4.667519178288595
2007-10-01,2.793,209.19,4.409906539509538,4.637877060368894
2007-11-01,3.069,210.834,4.807902031930333,4.605826803310827
2007-12-01,3.02,211.445,4.717467237343045,4.581349939366002
2008-01-01,3.047,212.174,4.743289804594343,4.586747758202274
2008-02-01,3.033,212.687,4.710107665254576,4.634306913420662
2008-03-01,3.258,213.448,5.041483611933586,4.738359481760903
2008-04-01,3.441,213.942,5.312366029110693,4.888769396694429
2008-05-01,3.764,215.208,5.776843109921564,5.050259576359634
2008-06-01,4.065,217.463,6.174112584669577,5.293033800914056
2008-07-01,4.09,219.016,6.168035075063009,5.530491345992168
2008-08-01,3.786,218.69,5.718090895788559,5.698488551081165
2008-09-01,3.698,218.877,5.580410522805045,5.788309702893074
2008-10-01,3.173,216.995,4.8296951035738145,5.707864548636928
2008-11-01,2.151,213.153,3.3330999000717796,5.300574013661964
2008-12-01,1.689,211.398,2.638931669173786,4.711377194412665
2009-01-01,1.787,211.933,2.7850008776358566,4.14753816150814
2009-02-01,1.928,212.705,2.993840784184669,3.6934964762408256
2009-03-01,1.949,212.495,3.0294409609637873,3.2683348826006156
2009-04-01,2.056,212.709,3.192541961082982,2.99547602551881
2009-05-01,2.265,213.022,3.511907901531298,3.0252773590953965
2009-06-01,2.631,214.79,4.04581629964151,3.259758130840017
2009-07-01,2.543,214.726,3.9116599713122775,3.447534646452754
2009-08-01,2.627,215.445,4.027383838102532,3.619791822105731
2009-09-01,2.574,215.861,3.9385260978129444,3.7713060115805903
2009-10-01,2.561,216.509,3.9069062856509436,3.890366732341917
2009-11-01,2.66,217.234,4.044391669812276,3.9791140270554135
2009-12-01,2.621,217.347,3.98302232374958,3.968648364406759
2010-01-01,2.731,217.488,4.147494036452586,4.007954041930144
2010-02-01,2.659,217.281,4.041996709330314,4.010389520468107
2010-03-01,2.78,217.353,4.224531246405617,4.058057045233553
2010-04-01,2.858,217.403,4.342062409442373,4.130583065865458
2010-05-01,2.869,217.29,4.36104108334484,4.183357968120885
2010-06-01,2.736,217.199,4.16061606176824,4.212956924457328
2010-07-01,2.736,217.605,4.152853325980562,4.213850139378658
2010-08-01,2.745,217.923,4.160434121226305,4.233589708027989
2010-09-01,2.704,218.275,4.091683756728897,4.211448459748536
2010-10-01,2.795,219.035,4.214709681101194,4.190223005025007
2010-11-01,2.852,219.59,4.289792959606539,4.178348317735289
2010-12-01,2.985,220.472,4.471881259298232,4.230225850656955
2011-01-01,3.091,221.187,4.615712781492583,4.307369093242292
2011-02-01,3.167,221.898,4.714048486241426,4.399638154078145
2011-03-01,3.546,223.046,5.251019870340648,4.592860839680104
2011-04-01,3.816,224.093,5.624442030764014,4.827816231290574
2011-05-01,3.933,224.806,5.778503994555305,5.075934737115368
2011-06-01,3.702,224.806,5.439110548650836,5.237139618674136
2011-07-01,3.654,225.395,5.354558095787396,5.360280504389937
2011-08-01,3.63,226.106,5.302661539278038,5.458382679896039
2011-09-01,3.612,226.597,5.264934293040067,5.460701750345943
2011-10-01,3.468,226.75,5.051625684674752,5.365232359331066
2011-11-01,3.423,227.169,4.976880379805343,5.231628423539406
2011-12-01,3.278,227.223,4.764924563094405,5.119264092613333
2012-01-01,3.399,227.842,4.927387869664066,5.0480690549261125
